,0
p008r030,20
p008r029,20
p009r029,20
p009r030,19
p010r029,19
p009r028,20
p008r028,20
p009r027,20
p009r025,20
p009r026,20
p010r025,20
p011r025,19
p012r025,19
p013r025,19
p010r026,20
p011r026,19
p012r026,19
p013r026,19
p012r027,19
p011r027,19
p010r027,19
p010r028,19
p011r028,19
p012r028,19
p011r029,19
p011r030,19
p012r030,19
p012r029,19
p013r028,19
p013r029,19
p013r030,18
p014r029,18
p014r030,18
p014r028,18
p014r027,18
p013r027,19
p014r026,19
p015r027,18
p015r026,18
p016r026,18
p016r027,18
p015r028,18
p016r028,18
p015r029,18
p016r029,18
p015r030,18
p017r028,18
p017r027,18
p017r029,17
p018r028,17
p018r029,17
p018r027,17
p018r026,17
p017r026,18
p018r025,18
p017r025,18
p016r025,18
p015r025,18
p014r025,19
p019r025,17
p020r025,17
p021r025,17
p022r025,17
p023r025,16
p021r026,17
p020r026,17
p019r026,17
p019r027,17
p020r027,17
p019r028,17
p019r029,17
p020r028,17
p020r029,17
p021r027,17
p021r028,17
p021r029,16
p022r028,16
p022r029,16
p022r027,16
p022r026,16
p023r026,16
p024r026,16
p024r025,16
p025r025,16
p025r026,16
p023r027,16
p024r027,16
p023r028,16
p023r029,16
p024r028,16
p024r029,16
p025r027,16
p025r028,16
p025r029,15
p026r028,15
p026r027,15
p026r026,15
p026r025,16
p027r025,15
p028r025,15
p030r025,14
p029r025,15
p031r025,14
p029r026,15
p027r026,15
p028r026,15
p027r027,15
p028r027,15
p026r029,15
p027r028,15
p027r029,15
p028r028,15
p028r029,15
p029r029,14
p029r028,14
p029r027,15
p030r027,14
p030r026,14
p031r026,14
p032r025,14
p032r026,14
p031r027,14
p032r027,14
p030r028,14
p030r029,14
p031r028,14
p032r028,14
p031r029,14
p032r029,14
p033r028,13
p033r027,14
p034r027,13
p034r026,13
p033r026,14
p033r025,14
p034r025,13
p035r025,13
p035r026,13
p039r025,12
p040r025,12
p041r025,12
p038r025,12
p037r025,13
p036r025,13
p037r026,13
p038r026,12
p039r026,12
p040r026,12
p038r027,12
p037r027,13
p036r026,13
p035r027,13
p036r027,13
p035r028,13
p034r028,13
p033r029,13
p034r029,13
p036r028,13
p035r029,13
p033r030,13
p034r030,13
p036r029,13
p035r030,13
p036r030,13
p037r029,12
p037r028,12
p039r027,12
p038r028,12
p040r027,12
p041r027,11
p039r028,12
p040r028,12
p038r029,12
p037r030,12
p038r030,12
p039r029,12
p040r029,12
p039r030,12
p040r030,11
p038r031,12
p041r029,11
p041r028,11
p042r028,11
p042r027,11
p043r027,11
p043r028,11
p043r026,11
p042r026,11
p044r026,11
p044r027,11
p045r026,11
p044r025,11
p043r025,11
p041r026,12
p042r025,11
